Question,Log,Mode,Correlation,P-Value,significance
AverageResponses,Accepted_or_Rejected__Nothing,Baseline,0.19559228698933184,0.26015130704213346,-
AverageResponses,Accepted_or_Rejected__Nothing,Delta_Social,0.7242325433372329,0.0010102299237177278,**
AverageResponses,Accepted_or_Rejected__Nothing,Delta_Task,0.7024628894108205,0.0011513895833343856,**
AverageResponses,Accepted_or_Rejected__Nothing,Social,0.6326971000800347,0.006416023737731751,**
AverageResponses,Accepted_or_Rejected__Nothing,Task,0.6604177583603967,0.0028529067061396373,**
AverageResponses,Accepted_or_Rejected__Word_length,Baseline,0.11985603951745788,0.4928362888505161,-
AverageResponses,Accepted_or_Rejected__Word_length,Delta_Social,0.6881620167070454,0.0022590212053367597,**
AverageResponses,Accepted_or_Rejected__Word_length,Delta_Task,0.5346570224201646,0.022253512553832785,*
AverageResponses,Accepted_or_Rejected__Word_length,Social,0.6519871189038863,0.004566154590204576,**
AverageResponses,Accepted_or_Rejected__Word_length,Task,0.5407369695409437,0.020500633763148743,*
AverageResponses,Answer_Time__Nothing,Baseline,-0.17527244996307967,0.3138911420806142,-
AverageResponses,Answer_Time__Nothing,Delta_Social,0.011077025851225504,0.9663441547041804,-
AverageResponses,Answer_Time__Nothing,Delta_Task,-0.7168994646504879,0.0008137895551761753,***
AverageResponses,Answer_Time__Nothing,Social,-0.285717752426482,0.2662717569685202,-
AverageResponses,Answer_Time__Nothing,Task,-0.3838605702479398,0.11580826319019562,-
AverageResponses,Answer_Time__Word_length,Baseline,-0.23674440873825284,0.17090852860321357,-
AverageResponses,Answer_Time__Word_length,Delta_Social,0.01723092910190634,0.947666214917894,-
AverageResponses,Answer_Time__Word_length,Delta_Task,-0.811447075205842,4.362235912634112e-05,***
AverageResponses,Answer_Time__Word_length,Social,-0.27217079002695055,0.2905895570695172,-
AverageResponses,Answer_Time__Word_length,Task,-0.5587188893096697,0.01594383041638433,*
AverageResponses,Attempt_Duration__Nothing,Baseline,0.15417223528052593,0.37654832687364226,-
AverageResponses,Attempt_Duration__Nothing,Delta_Social,0.3064643818839057,0.2315425702455462,-
AverageResponses,Attempt_Duration__Nothing,Delta_Task,-0.009350862582397668,0.970624743170899,-
AverageResponses,Attempt_Duration__Nothing,Social,0.20074135192033005,0.43978974443863084,-
AverageResponses,Attempt_Duration__Nothing,Task,-0.34454331507429636,0.16147113304867483,-
AverageResponses,Attempt_Duration__Word_length,Baseline,0.06934937225665992,0.6922131292769161,-
AverageResponses,Attempt_Duration__Word_length,Delta_Social,0.4283116662473862,0.08629646314182975,-
AverageResponses,Attempt_Duration__Word_length,Delta_Task,-0.20364100734999366,0.4176553107589752,-
AverageResponses,Attempt_Duration__Word_length,Social,0.3152747612981871,0.21771178378478706,-
AverageResponses,Attempt_Duration__Word_length,Task,-0.3838605702479398,0.11580826319019562,-
AverageResponses,Sent_Word_Duration__Nothing,Baseline,0.06316439938193263,0.718492198087674,-
